amplitude,noise,band_pass,window_size,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,precision,recall,F1,type_I_ER,type_II_ER
"(60, 20)",low,True,0.02,86,False,baseline,mc_w,0.0048224282217041,2236,2,False,0,2,2010,224,0.0,0.0,0.0,0.0009940357852882703,1.0
"(60, 20)",low,True,0.02,86,False,vs_right,mc_w,0.0048224282217041,2236,201,True,86,115,1897,138,0.42786069651741293,0.38392857142857145,0.4047058823529412,0.05715705765407555,0.6160714285714286
"(60, 20)",low,True,0.02,86,False,vs_left,mc_w,0.0048224282217041,2236,135,True,66,69,1943,158,0.4888888888888889,0.29464285714285715,0.36768802228412256,0.03429423459244533,0.7053571428571429
"(60, 20)",low,True,0.02,86,False,difference,mc_w,0.0048224282217041,2236,4,False,2,2,2010,222,0.5,0.008928571428571428,0.017543859649122806,0.0009940357852882703,0.9910714285714286
"(60, 20)",low,True,0.02,64,True,baseline,mc_w,0.0105409255338945,468,2,False,0,2,322,144,0.0,0.0,0.0,0.006172839506172839,1.0
"(60, 20)",low,True,0.02,64,True,vs_right,mc_w,0.0105409255338945,468,65,True,63,2,322,81,0.9692307692307692,0.4375,0.6028708133971291,0.006172839506172839,0.5625
"(60, 20)",low,True,0.02,64,True,vs_left,mc_w,0.0105409255338945,468,62,True,62,0,324,82,1.0,0.4305555555555556,0.6019417475728156,0.0,0.5694444444444444
"(60, 20)",low,True,0.02,64,True,difference,mc_w,0.0105409255338945,468,2,False,2,0,324,142,1.0,0.013888888888888888,0.0273972602739726,0.0,0.9861111111111112
"(60, 20)",low,True,0.02,64,False,baseline,mc_w,0.0055901699437494,1664,2,False,0,2,1518,144,0.0,0.0,0.0,0.0013157894736842105,1.0
"(60, 20)",low,True,0.02,64,False,vs_right,mc_w,0.0055901699437494,1664,156,True,60,96,1424,84,0.38461538461538464,0.4166666666666667,0.4,0.06315789473684211,0.5833333333333334
"(60, 20)",low,True,0.02,64,False,vs_left,mc_w,0.0055901699437494,1664,100,True,47,53,1467,97,0.47,0.3263888888888889,0.3852459016393443,0.034868421052631576,0.6736111111111112
"(60, 20)",low,True,0.02,64,False,difference,mc_w,0.0055901699437494,1664,4,False,2,2,1518,142,0.5,0.013888888888888888,0.02702702702702703,0.0013157894736842105,0.9861111111111112
"(60, 20)",low,True,0.02,31,True,baseline,mc_w,0.0158113883008418,208,2,False,0,2,142,64,0.0,0.0,0.0,0.013888888888888888,1.0
"(60, 20)",low,True,0.02,31,True,vs_right,mc_w,0.0158113883008418,208,36,True,30,6,138,34,0.8333333333333334,0.46875,0.6,0.041666666666666664,0.53125
"(60, 20)",low,True,0.02,31,True,vs_left,mc_w,0.0158113883008418,208,34,True,32,2,142,32,0.9411764705882353,0.5,0.6530612244897959,0.013888888888888888,0.5
"(60, 20)",low,True,0.02,31,True,difference,mc_w,0.0158113883008418,208,2,False,2,0,144,62,1.0,0.03125,0.06060606060606061,0.0,0.96875
"(60, 20)",low,True,0.02,31,False,baseline,mc_w,0.0080321932890249,806,2,False,0,2,740,64,0.0,0.0,0.0,0.0026954177897574125,1.0
"(60, 20)",low,True,0.02,31,False,vs_right,mc_w,0.0080321932890249,806,83,True,28,55,687,36,0.3373493975903614,0.4375,0.380952380952381,0.07412398921832884,0.5625
"(60, 20)",low,True,0.02,31,False,vs_left,mc_w,0.0080321932890249,806,53,True,19,34,708,45,0.3584905660377358,0.296875,0.3247863247863248,0.04582210242587601,0.703125
"(60, 20)",low,True,0.02,31,False,difference,mc_w,0.0080321932890249,806,1,False,0,1,741,64,0.0,0.0,0.0,0.0013477088948787063,1.0
"(60, 20)",low,True,0.004,86,True,baseline,mc_b,1.417233560090703e-05,3528,0,False,0,0,2464,1064,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,86,True,vs_right,mc_b,1.417233560090703e-05,3528,56,False,56,0,2464,1008,1.0,0.05263157894736842,0.1,0.0,0.9473684210526315
"(60, 20)",low,True,0.004,86,True,vs_left,mc_b,1.417233560090703e-05,3528,39,False,39,0,2464,1025,1.0,0.03665413533834586,0.07071622846781504,0.0,0.9633458646616542
"(60, 20)",low,True,0.004,86,True,difference,mc_b,1.417233560090703e-05,3528,0,False,0,0,2464,1064,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,86,False,baseline,mc_b,4.614248800295312e-06,10836,0,False,0,0,9772,1064,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,86,False,vs_right,mc_b,4.614248800295312e-06,10836,35,False,5,30,9742,1059,0.14285714285714285,0.004699248120300752,0.009099181073703366,0.0030699959066721244,0.9953007518796992
"(60, 20)",low,True,0.004,86,False,vs_left,mc_b,4.614248800295312e-06,10836,17,False,3,14,9758,1061,0.17647058823529413,0.002819548872180451,0.005550416281221091,0.0014326647564469914,0.9971804511278195
"(60, 20)",low,True,0.004,86,False,difference,mc_b,4.614248800295312e-06,10836,0,False,0,0,9772,1064,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,64,True,baseline,mc_b,2.2045855379188717e-05,2268,0,False,0,0,1584,684,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,64,True,vs_right,mc_b,2.2045855379188717e-05,2268,53,False,53,0,1584,631,1.0,0.07748538011695906,0.14382632293080053,0.0,0.922514619883041
"(60, 20)",low,True,0.004,64,True,vs_left,mc_b,2.2045855379188717e-05,2268,55,False,55,0,1584,629,1.0,0.0804093567251462,0.14884979702300405,0.0,0.9195906432748538
"(60, 20)",low,True,0.004,64,True,difference,mc_b,2.2045855379188717e-05,2268,1,False,1,0,1584,683,1.0,0.0014619883040935672,0.00291970802919708,0.0,0.9985380116959064
"(60, 20)",low,True,0.004,64,False,baseline,mc_b,6.200396825396825e-06,8064,0,False,0,0,7380,684,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,64,False,vs_right,mc_b,6.200396825396825e-06,8064,26,False,7,19,7361,677,0.2692307692307692,0.01023391812865497,0.019718309859154928,0.002574525745257453,0.9897660818713451
"(60, 20)",low,True,0.004,64,False,vs_left,mc_b,6.200396825396825e-06,8064,24,False,6,18,7362,678,0.25,0.008771929824561403,0.016949152542372878,0.0024390243902439024,0.9912280701754386
"(60, 20)",low,True,0.004,64,False,difference,mc_b,6.200396825396825e-06,8064,0,False,0,0,7380,684,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,31,True,baseline,mc_b,4.96031746031746e-05,1008,0,False,0,0,704,304,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,31,True,vs_right,mc_b,4.96031746031746e-05,1008,33,False,33,0,704,271,1.0,0.10855263157894737,0.19584569732937687,0.0,0.8914473684210527
"(60, 20)",low,True,0.004,31,True,vs_left,mc_b,4.96031746031746e-05,1008,48,False,48,0,704,256,1.0,0.15789473684210525,0.2727272727272727,0.0,0.8421052631578947
"(60, 20)",low,True,0.004,31,True,difference,mc_b,4.96031746031746e-05,1008,0,False,0,0,704,304,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,31,False,baseline,mc_b,1.2800819252432156e-05,3906,0,False,0,0,3602,304,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.004,31,False,vs_right,mc_b,1.2800819252432156e-05,3906,30,False,12,18,3584,292,0.4,0.039473684210526314,0.0718562874251497,0.004997223764575236,0.9605263157894737
"(60, 20)",low,True,0.004,31,False,vs_left,mc_b,1.2800819252432156e-05,3906,29,False,12,17,3585,292,0.41379310344827586,0.039473684210526314,0.07207207207207206,0.004719600222098834,0.9605263157894737
"(60, 20)",low,True,0.004,31,False,difference,mc_b,1.2800819252432156e-05,3906,0,False,0,0,3602,304,1.0,0.0,0.0,0.0,1.0
"(60, 20)",low,True,0.012,86,True,baseline,mc_b,4.251700680272109e-05,1176,0,False,0,0,840,336,1.0,0.0,0.0,0.0,1.0
