amplitude,noise,band_pass,window_size,time_interval,density,location,condition,method,crit_p_val,total,positives,global_significant,TP,FP,TN,FN,type_I_ER,type_II_ER
"(40, 20)",high,True,0.004,True,86,False,vs_right,mc_b,9.228497600590624e-06,5418,27,False,23,4,4350,1041,0.0009186954524575103,0.9783834586466166
"(40, 20)",high,True,0.004,True,86,False,vs_left,mc_b,9.228497600590624e-06,5418,22,False,21,1,4353,1043,0.00022967386311437759,0.9802631578947368
"(40, 20)",high,True,0.004,True,86,False,difference,mc_b,9.228497600590624e-06,5418,0,False,0,0,4354,1064,0.0,1.0
"(40, 20)",high,True,0.004,True,64,True,baseline,mc_b,4.409171075837743e-05,1134,0,False,0,0,1134,0,0.0,0.0
"(40, 20)",high,True,0.004,True,64,True,vs_right,mc_b,4.409171075837743e-05,1134,50,False,50,0,450,634,0.0,0.9269005847953217
"(40, 20)",high,True,0.004,True,64,True,vs_left,mc_b,4.409171075837743e-05,1134,48,False,48,0,450,636,0.0,0.9298245614035088
"(40, 20)",high,True,0.004,True,64,True,difference,mc_b,4.409171075837743e-05,1134,0,False,0,0,450,684,0.0,1.0
"(40, 20)",high,True,0.004,True,64,False,baseline,mc_b,1.240079365079365e-05,4032,0,False,0,0,4032,0,0.0,0.0
"(40, 20)",high,True,0.004,True,64,False,vs_right,mc_b,1.240079365079365e-05,4032,27,False,21,6,3342,663,0.0017921146953405018,0.9692982456140351
"(40, 20)",high,True,0.004,True,64,False,vs_left,mc_b,1.240079365079365e-05,4032,23,False,23,0,3348,661,0.0,0.966374269005848
"(40, 20)",high,True,0.004,True,64,False,difference,mc_b,1.240079365079365e-05,4032,0,False,0,0,3348,684,0.0,1.0
"(40, 20)",high,True,0.004,True,31,True,baseline,mc_b,9.92063492063492e-05,504,0,False,0,0,504,0,0.0,0.0
"(40, 20)",high,True,0.004,True,31,True,vs_right,mc_b,9.92063492063492e-05,504,33,True,33,0,200,271,0.0,0.8914473684210527
"(40, 20)",high,True,0.004,True,31,True,vs_left,mc_b,9.92063492063492e-05,504,43,True,43,0,200,261,0.0,0.8585526315789473
"(40, 20)",high,True,0.004,True,31,True,difference,mc_b,9.92063492063492e-05,504,0,False,0,0,200,304,0.0,1.0
"(40, 20)",high,True,0.004,True,31,False,baseline,mc_b,2.560163850486431e-05,1953,0,False,0,0,1953,0,0.0,0.0
"(40, 20)",high,True,0.004,True,31,False,vs_right,mc_b,2.560163850486431e-05,1953,20,False,17,3,1646,287,0.0018192844147968466,0.944078947368421
"(40, 20)",high,True,0.004,True,31,False,vs_left,mc_b,2.560163850486431e-05,1953,20,False,20,0,1649,284,0.0,0.9342105263157895
"(40, 20)",high,True,0.004,True,31,False,difference,mc_b,2.560163850486431e-05,1953,0,False,0,0,1649,304,0.0,1.0
"(40, 20)",high,True,0.004,False,86,True,baseline,mc_b,1.417233560090703e-05,3528,0,False,0,0,3528,0,0.0,0.0
"(40, 20)",high,True,0.004,False,86,True,vs_right,mc_b,1.417233560090703e-05,3528,34,False,34,0,2464,1030,0.0,0.9680451127819549
"(40, 20)",high,True,0.004,False,86,True,vs_left,mc_b,1.417233560090703e-05,3528,28,False,28,0,2464,1036,0.0,0.9736842105263158
"(40, 20)",high,True,0.004,False,86,True,difference,mc_b,1.417233560090703e-05,3528,0,False,0,0,2464,1064,0.0,1.0
"(40, 20)",high,True,0.004,False,86,False,baseline,mc_b,4.614248800295312e-06,10836,0,False,0,0,10836,0,0.0,0.0
"(40, 20)",high,True,0.004,False,86,False,vs_right,mc_b,4.614248800295312e-06,10836,14,False,11,3,9769,1053,0.0003069995906672124,0.9896616541353384
"(40, 20)",high,True,0.004,False,86,False,vs_left,mc_b,4.614248800295312e-06,10836,12,False,11,1,9771,1053,0.00010233319688907081,0.9896616541353384
"(40, 20)",high,True,0.004,False,86,False,difference,mc_b,4.614248800295312e-06,10836,0,False,0,0,9772,1064,0.0,1.0
"(40, 20)",high,True,0.004,False,64,True,baseline,mc_b,2.2045855379188717e-05,2268,0,False,0,0,2268,0,0.0,0.0
"(40, 20)",high,True,0.004,False,64,True,vs_right,mc_b,2.2045855379188717e-05,2268,33,False,33,0,1584,651,0.0,0.9517543859649122
"(40, 20)",high,True,0.004,False,64,True,vs_left,mc_b,2.2045855379188717e-05,2268,32,False,32,0,1584,652,0.0,0.9532163742690059
"(40, 20)",high,True,0.004,False,64,True,difference,mc_b,2.2045855379188717e-05,2268,0,False,0,0,1584,684,0.0,1.0
"(40, 20)",high,True,0.004,False,64,False,baseline,mc_b,6.200396825396825e-06,8064,0,False,0,0,8064,0,0.0,0.0
"(40, 20)",high,True,0.004,False,64,False,vs_right,mc_b,6.200396825396825e-06,8064,15,False,11,4,7376,673,0.0005420054200542005,0.9839181286549707
"(40, 20)",high,True,0.004,False,64,False,vs_left,mc_b,6.200396825396825e-06,8064,11,False,11,0,7380,673,0.0,0.9839181286549707
"(40, 20)",high,True,0.004,False,64,False,difference,mc_b,6.200396825396825e-06,8064,0,False,0,0,7380,684,0.0,1.0
"(40, 20)",high,True,0.004,False,31,True,baseline,mc_b,4.96031746031746e-05,1008,0,False,0,0,1008,0,0.0,0.0
"(40, 20)",high,True,0.004,False,31,True,vs_right,mc_b,4.96031746031746e-05,1008,25,False,25,0,704,279,0.0,0.9177631578947368
"(40, 20)",high,True,0.004,False,31,True,vs_left,mc_b,4.96031746031746e-05,1008,31,False,31,0,704,273,0.0,0.8980263157894737
"(40, 20)",high,True,0.004,False,31,True,difference,mc_b,4.96031746031746e-05,1008,0,False,0,0,704,304,0.0,1.0
"(40, 20)",high,True,0.004,False,31,False,baseline,mc_b,1.2800819252432156e-05,3906,0,False,0,0,3906,0,0.0,0.0
"(40, 20)",high,True,0.004,False,31,False,vs_right,mc_b,1.2800819252432156e-05,3906,13,False,11,2,3600,293,0.000555247084952804,0.9638157894736842
"(40, 20)",high,True,0.004,False,31,False,vs_left,mc_b,1.2800819252432156e-05,3906,14,False,14,0,3602,290,0.0,0.9539473684210527
"(40, 20)",high,True,0.004,False,31,False,difference,mc_b,1.2800819252432156e-05,3906,0,False,0,0,3602,304,0.0,1.0
"(40, 20)",high,True,0.012,True,86,True,baseline,mc_b,8.503401360544218e-05,588,0,False,0,0,588,0,0.0,0.0
