window_size,density,local,condition,test,channel_count,time_count,total_count,amp,noise
20,64,FALSE,vs_left,sw,20,7,7,8030,0.1
20,64,FALSE,difference,sw,0,0,0,8030,0.1
20,31,TRUE,baseline,sw,0,0,0,8030,0.1
20,31,TRUE,vs_right,sw,5,7,7,8030,0.1
20,31,TRUE,vs_left,sw,7,7,7,8030,0.1
20,31,TRUE,difference,sw,0,0,0,8030,0.1
20,31,FALSE,baseline,sw,0,0,0,8030,0.1
20,31,FALSE,vs_right,sw,8,8,8,8030,0.1
20,31,FALSE,vs_left,sw,11,7,7,8030,0.1
20,31,FALSE,difference,sw,0,0,0,8030,0.1
4,86,TRUE,baseline,sw,5,12,12,8030,0.2
4,86,TRUE,vs_right,sw,26,42,42,8030,0.2
4,86,TRUE,vs_left,sw,27,46,46,8030,0.2
4,86,TRUE,difference,sw,9,16,16,8030,0.2
4,86,FALSE,baseline,sw,9,23,23,8030,0.2
4,86,FALSE,vs_right,sw,78,46,46,8030,0.2
4,86,FALSE,vs_left,sw,79,46,46,8030,0.2
4,86,FALSE,difference,sw,14,22,22,8030,0.2
4,64,TRUE,baseline,sw,3,5,5,8030,0.2
4,64,TRUE,vs_right,sw,18,36,36,8030,0.2
4,64,TRUE,vs_left,sw,17,43,43,8030,0.2
4,64,TRUE,difference,sw,6,15,15,8030,0.2
4,64,FALSE,baseline,sw,6,16,16,8030,0.2
4,64,FALSE,vs_right,sw,58,42,42,8030,0.2
4,64,FALSE,vs_left,sw,57,44,44,8030,0.2
4,64,FALSE,difference,sw,14,23,23,8030,0.2
4,31,TRUE,baseline,sw,3,7,7,8030,0.2
4,31,TRUE,vs_right,sw,8,35,35,8030,0.2
4,31,TRUE,vs_left,sw,7,34,34,8030,0.2
4,31,TRUE,difference,sw,2,14,14,8030,0.2
4,31,FALSE,baseline,sw,2,5,5,8030,0.2
4,31,FALSE,vs_right,sw,28,39,39,8030,0.2
4,31,FALSE,vs_left,sw,26,38,38,8030,0.2
4,31,FALSE,difference,sw,8,23,23,8030,0.2
20,86,TRUE,baseline,sw,0,0,0,8030,0.2
20,86,TRUE,vs_right,sw,24,6,6,8030,0.2
20,86,TRUE,vs_left,sw,25,8,8,8030,0.2
20,86,TRUE,difference,sw,0,0,0,8030,0.2
20,86,FALSE,baseline,sw,1,2,2,8030,0.2
20,86,FALSE,vs_right,sw,70,6,6,8030,0.2
20,86,FALSE,vs_left,sw,76,10,10,8030,0.2
20,86,FALSE,difference,sw,0,0,0,8030,0.2
20,64,TRUE,baseline,sw,0,0,0,8030,0.2
20,64,TRUE,vs_right,sw,17,6,6,8030,0.2
20,64,TRUE,vs_left,sw,17,7,7,8030,0.2
20,64,TRUE,difference,sw,1,2,2,8030,0.2
20,64,FALSE,baseline,sw,1,2,2,8030,0.2
20,64,FALSE,vs_right,sw,52,7,7,8030,0.2
20,64,FALSE,vs_left,sw,56,10,10,8030,0.2
20,64,FALSE,difference,sw,0,0,0,8030,0.2
20,31,TRUE,baseline,sw,0,0,0,8030,0.2
